cement ,quartz,fine agg,micro silica,superplasticizer,water,Sup Cem,Fillers,w/b,Fiber type,length,diameter,AR,volume %,Tensile strength(MPa),comp strength(MPa)
1,0.3,1.1,0,0.02,0.2,0,0,0.2,1,17.5,0.2,88,0.015,2500,166.9
1,0.25,1.22,0.25,0.05,0.22,0,0,0.176,1,13,0.15,87,0.02,2800,151.7
1,0,1.37,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.005,2000,154
1,0,1.32,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.01,2000,149
1,0,1.27,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.015,2000,149
1,0,1.22,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.02,2000,164
1,0,1.17,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.025,2000,159
1,0,1.12,0.25,0.04,0.22,0,0,0.176,1,13,0.15,87,0.03,2000,148
1,0,1.48,0.25,0.05,0.19,0,0,0.15,1,10,0.3,33,0.02,2500,170
1,0.3,1.1,0.25,0.02,0.2,0,0,0.16,1,13,0.2,65,0.02,2500,194
1,0,1.1,0.25,0.016,0.25,0.3,0,0.2,1,13,0.2,65,0.01,2500,195
1,0,1.1,0.25,0.016,0.25,0.3,0,0.2,1,13,0.2,65,0.02,2500,200
1,0,1.1,0.25,0.016,0.25,0.3,0,0.2,1,13,0.2,65,0.03,2500,209
1,0,1.1,0.25,0.016,0.25,0.3,0,0.2,1,13,0.2,65,0.04,2500,183
1,0.29,1.42,0.32,0.04,0.15,0,0,0.17,1,13,0.2,65,0.01,2600,154.8
1,0.29,1.42,0.32,0.04,0.15,0,0,0.17,1,13,0.2,65,0.02,2600,162.4
1,0.29,1.42,0.32,0.04,0.15,0,0,0.17,1,13,0.2,65,0.03,2600,158.7
1,0,1.67,0.17,0.05,0.27,0.48,0,0.16,1,13,0.175,74,0.02,1800,151
1,0,1.67,0.17,0.05,0.27,0.48,0,0.16,1,13,0.175,74,0.03,1800,177
1,0,1.67,0.17,0.05,0.27,0.48,0,0.16,1,13,0.175,74,0.04,1800,194
1,0,0.68,0.25,0.03,0.23,0,0,0.2,1,10,0.2,50,0.01,2600,138
1,0,1.2,0.26,0.05,0.26,0.14,0.28,0.19,1,13,0.2,65,0.02,2600,164.5
1,0,1.2,0.3,0.05,0.26,0.14,0.28,0.18,1,13,0.2,65,0.02,2600,139.1
1,0,1.25,0.15,0.03,0.2,0,0,0.17,1,13,0.2,65,0.02,1000,194
1,0,1.25,0.15,0.03,0.2,0,0,0.17,1,13,0.2,65,0.02,1000,145
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.02,2580,220.2
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,21,0.3,70,0.02,2684,209.6
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,21,0.3,70,0.02,2684,201.4
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,21,0.3,70,0.02,2684,218.4
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,25,0.3,83,0.02,2540,225.1
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,25,0.3,83,0.02,2540,218.5
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,25,0.3,83,0.02,2540,205.1
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.005,2788,209.4
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.01,2788,199.6
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.015,2788,209.7
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.005,2500,198.6
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.01,2500,208.4
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.015,2500,220.5
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.005,2580,211.2
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.01,2580,186.7
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.015,2580,218.1
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,8,0.2,40,0.01,2850,156
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,8,0.2,40,0.03,2850,164
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,12,0.2,60,0.01,2850,158
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,12,0.2,60,0.03,2850,166
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,16,0.2,80,0.01,2850,159
1,0.3,1.2,0.2,0.035,0.23,0,0,0.19,1,16,0.2,80,0.03,2850,165
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,151
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,153
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,155
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,157
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,159
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,161
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,164
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,166
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,168
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,155
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,156
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,158
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,162
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,164
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,165
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,168
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,170
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,172
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,154
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,155
1,0,1.83,0.33,0.05,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,157
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,162
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,163
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,164
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,8,0.2,40,0.02,2500,167
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,13,0.2,65,0.02,2500,169
1,0,1.83,0.33,0.06,0.21,0,0,0.16,2,16,0.2,80,0.02,2500,170
1,0,0.91,0.07,0.01,0.18,0.17,0.05,0.14,1,13,0.2,65,0.01,1900,148
1,0,1.05,0.2,0.02,0.22,0,0.3,0.18,1,13,0.2,65,0.01,1900,138
1,0,1,0.25,0.06,0.18,0,0,0.14,2,30,0.5,60,0.005,850,135.2
1,0,1,0.25,0.06,0.18,0,0,0.14,2,30,0.5,60,0.01,850,143.2
1,0,1,0.25,0.06,0.18,0,0,0.14,2,30,0.5,60,0.015,850,148
1,0,1,0.25,0.06,0.18,0,0,0.14,2,30,0.5,60,0.02,850,156.4
1,0,1,0.25,0.06,0.18,0,0,0.14,2,30,0.5,60,0.025,850,162.2
1,0,0.82,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.0025,2250,148
1,0,0.81,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.005,2250,150
1,0,0.81,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.0075,2250,152
1,0,0.8,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.01,2250,154
1,0,0.79,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.015,2250,160
1,0,0.77,0.25,0.05,0.24,0,0,0.195,1,6,0.16,38,0.02,2250,162
1,0,0.82,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.0025,1345,144
1,0,0.81,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.005,1345,149
1,0,0.8,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.0075,1345,151
1,0,0.8,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.01,1345,155
1,0,0.75,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.015,1345,157
1,0,0.74,0.25,0.05,0.24,0,0,0.195,2,30,0.55,55,0.02,1345,160
1,0,0.56,0.35,0.021,0.19,0,0,0.18,1,13,0.2,65,0.02,2500,147
1,0,0.56,0.35,0.021,0.19,0,0,0.18,1,13,0.2,65,0.03,2500,151
1,0,0.56,0.35,0.021,0.19,0,0,0.18,1,13,0.2,65,0.04,2500,164
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.015,2500,207.93
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.015,2500,215.13
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.015,2500,210.43
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.015,2500,213.27
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.015,2500,209.12
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.015,2500,199.31
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.015,2500,201.59
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.015,2500,201.41
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.03,2500,212.87
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.03,2500,201.54
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.03,2500,201.15
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,13,0.175,74,0.03,2500,205.75
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.03,2500,208.03
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.03,2500,203.88
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.03,2500,209.45
1,0.25,1.22,0.21,0.03,0.24,0,0,0.21,1,20,0.25,80,0.03,2500,209.1
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,1,13,0.22,59,0.025,2850,180
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,5,13,0.22,59,0.025,2850,185
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,5,13,0.22,59,0.025,2850,205
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,5,13,0.22,59,0.025,2850,225
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,5,13,0.22,59,0.025,2850,215
1,0,1.67,0.17,0.03,0.27,0.5,0,0.16,2,13,0.22,59,0.025,2850,190
1,0,1.67,0.17,0.03,0.28,0.5,0,0.16,5,13,0.22,59,0.025,2850,185
1,0,1.67,0.17,0.03,0.28,0.5,0,0.16,5,13,0.22,59,0.025,2850,187
1,0,1.67,0.17,0.03,0.28,0.5,0,0.16,5,13,0.22,59,0.025,2850,187
1,0,1.67,0.17,0.03,0.28,0.5,0,0.16,5,13,0.22,59,0.025,2850,185
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.005,2788,205
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.01,2788,195
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.015,2788,205
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,13,0.2,65,0.02,2788,220
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.005,2500,190
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.01,2500,200
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.015,2500,220
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,19.5,0.2,98,0.02,2500,210
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.005,2580,200
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.01,2580,180
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.015,2580,210
1,0,1.1,0.25,0.07,0.2,0.3,0,0.2,1,30,0.3,100,0.02,2580,215
1,0,1.1,0.3,0.0182,0.23,0,0,0.18,1,13,0.2,65,0.01,2850,200
1,0,1.1,0.3,0.0182,0.23,0,0,0.18,1,13,0.2,65,0.02,2850,212
1,0,1.1,0.3,0.0182,0.23,0,0,0.18,1,13,0.2,65,0.03,2850,235
1,0,1.1,0.3,0.0208,0.23,0,0,0.18,1,13,0.2,65,0.01,2850,190
1,0,1.1,0.3,0.0208,0.23,0,0,0.18,1,13,0.2,65,0.02,2850,210
1,0,1.1,0.3,0.0208,0.23,0,0,0.18,1,13,0.2,65,0.03,2850,230
1,0,1.1,0.3,0.0234,0.23,0,0,0.18,1,13,0.2,65,0.01,2850,185
1,0,1.1,0.3,0.0234,0.23,0,0,0.18,1,13,0.2,65,0.02,2850,207
1,0,1.1,0.3,0.0234,0.23,0,0,0.18,1,13,0.2,65,0.03,2850,220
