,Site,Stream,Watershed,Date,Year,Month,Obsw,ObservedFlow,Drainage area,Base-flow index ,Soil bulk density,surficial geology contacts ,Cropland cover,Number of water diversions ,Elevation,Evapotranspiration_00 ,Evapotranspiration_01,Evapotranspiration_03,Evapotranspiration_06,Evapotranspiration_09,Evapotranspiration_12,bedrock geology faults ,Forest cover,hydraulic conductivity,Precipitation_00,Precipitation_01,Precipitation_03,Precipitation_06,Precipitation_09,Precipitation_12,Depth to soil restrictive layer,Number of roads,Slope,Slope-area ratio,Number of springs,permeability index ,Snow water equivalent_00,Snow water equivalent_01,Snow water equivalent_03,Snow water equivalent_06,Snow water equivalent_09,Snow water equivalent_12,Temperature_00,Temperature_01,Temperature_03,Temperature_06,Temperature_09,Temperature_12,water content ,Depth to water table,Number of water wells ,Wetland cover
0,31,3518,1,201204,2012,4,2.475,0.070083534,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,15.61,8.607,4.303,2.836,23.582,37.304,3.917338,38.992,0.127,47.184,46.936,77.878,70.99,56.788,64.2,131.116,69.386744,24.91,0.218,0,0.403,4.29,60.917,54.625,32.949,23.065,60.753,2.641,0.659,-3.261,-3.083,1.619,1.865,0.496,11.255,0.121717,1.251
1,25,13504,3,201205,2012,5,0.673,0.019057058,43.21674,74.035,1.356,25.01365,0.099,0,2639.848801,58.408,41.04,21.28,12.358,18.999,37.959,5.98E-04,42.47,0.252,57.212,51.666,57.071,64.584,56.55,55.599,128.737,76.346712,23.186,0.225,0.084333,0.585,0.168,4.66,41.211,29.093,20.365,34.499,5.629,4.316,0.022,-2.638,1.087,2.709,0.487,10.243,3.31E-04,1.153
2,27,8545,2,201205,2012,5,1.505125,0.042619992,53.87977,74.041,1.328,40.890284,0,0.033558,2645.209173,56.509,36.626,18.78,10.792,16.089,34.947,8.644166,27.232,0.13,53.182,48.105,54.349,62.767,54.532,53.323,132.64,106.914408,19.76,0.194,0.011999,0.571,0,1.897,40.226,27.234,19.064,30.412,5.599,4.267,-0.091,-2.745,0.979,2.622,0.488,10.979,0.768222,1.074
3,31,3518,1,201205,2012,5,4.33975,0.122886875,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,62.918,39.264,20.033,11.567,19.058,38.985,3.917338,38.992,0.127,58.923,53.054,60.003,69.984,60.66,58.579,131.116,69.386744,24.91,0.218,0,0.403,0,2.145,47.768,32.949,23.065,40.557,5.337,3.989,-0.341,-2.919,0.79,2.421,0.496,11.255,0.121717,1.251
4,33,5315,2,201205,2012,5,0.389166667,0.011019869,13.29188,74.068,1.331,29.3422,0,0,2788.773926,72.045,44.628,23.395,13.441,20.285,43.293,0.02976,49.16,0.098,60.689,55.425,63.185,74.296,63.973,61.432,132.009,61.882252,22.835,0.185,0.238512,0.348,0,3.352,51.388,34.946,24.462,45.935,5.29,3.958,-0.306,-2.893,0.827,2.44,0.497,12.284,3.40E-05,0.758
5,34,4793,1,201205,2012,5,2.1894,0.061996319,12.03573,74.079,1.318,23.990222,0,0,2821.221233,72.906,44.536,23.011,13.327,21.495,44.24,0.054465,39.811,0.077,64.907,59.15,67.086,78.858,68.016,65.053,129.789,29.851898,28.858,0.243,0,0.342,0,2.978,54.216,36.892,25.825,50.125,5.146,3.805,-0.425,-2.966,0.745,2.346,0.502,12.204,0,0
6,25,13504,3,201206,2012,6,0.435333333,0.012327151,43.21674,74.035,1.356,25.01365,0.099,0,2639.848801,60.086,59.247,36.138,20.764,17.848,35.623,5.98E-04,42.47,0.252,0.03,28.621,37.066,54.426,53.246,48.608,128.737,76.346712,23.186,0.225,0.084333,0.585,0,0.084,26.569,28.667,20.365,19.392,11.062,8.345,4.664,-0.35,0.731,3.377,0.487,10.243,3.31E-04,1.153
7,27,8545,2,201206,2012,6,1.577,0.044655246,53.87977,74.041,1.328,40.890284,0,0.033558,2645.209173,50.312,53.41,31.354,17.922,14.95,31.87,8.644166,27.232,0.13,0.221,26.701,34.696,52.863,51.519,46.631,132.64,106.914408,19.76,0.194,0.011999,0.571,0,0,25.708,27.021,19.064,17.086,10.953,8.276,4.593,-0.46,0.633,3.275,0.488,10.979,0.768222,1.074
8,31,3518,1,201206,2012,6,3.845,0.108877248,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,59.005,60.962,34.784,19.877,17.233,36.231,3.917338,38.992,0.127,0.975,29.949,38.443,59.032,57.303,51.649,131.116,69.386744,24.91,0.218,0,0.403,0,0,30.458,32.585,23.065,21.08,10.688,8.012,4.336,-0.658,0.446,3.07,0.496,11.255,0.121717,1.251
9,33,5315,2,201206,2012,6,0.469833333,0.013304073,13.29188,74.068,1.331,29.3422,0,0,2788.773926,61.247,66.646,38.706,22.121,18.848,39.281,0.02976,49.16,0.098,0.636,30.663,40.218,62.553,60.658,54.333,132.009,61.882252,22.835,0.185,0.238512,0.348,0,0,32.958,34.545,24.462,23.034,10.734,8.012,4.328,-0.624,0.473,3.104,0.497,12.284,3.40E-05,0.758
